Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Alabama,Texas A&M-Corpus Christi,2023,2023-03-16,1,0.147,25.76,-0.24,-1.6,5.6,-2.6,-0.9,1.9,1.2,-0.046,-0.041
Alabama,Maryland,2023,2023-03-18,1,0.217,8.61,-0.18,8.5,8.7,4.4,3.1,3.2,-1.5,-0.020,-0.017
Alabama,San Diego State,2023,2023-03-24,0,0.040,7.38,-0.50,7.7,8.6,4.6,2.3,3.5,-0.5,-0.012,-0.007
Arizona,Princeton,2023,2023-03-16,0,0.099,14.32,0.02,4.5,4.5,5.2,1.3,1.2,-1.6,0.016,0.019
Arizona State,Texas Christian,2023,2023-03-17,0,0.021,-4.32,0.30,-2.3,0.6,0.1,0.2,-0.1,0.8,-0.014,0.023
Arkansas,Illinois,2023,2023-03-16,1,-0.019,1.18,0.33,0.3,1.1,1.4,1.1,1.5,-0.6,0.010,-0.009
Arkansas,Kansas,2023,2023-03-18,1,-0.188,-3.21,0.07,-0.8,0.1,0.7,1.1,1.1,-0.3,0.000,-0.017
Arkansas,Connecticut,2023,2023-03-23,0,-0.152,-6.96,0.02,-0.3,4.5,3.7,2.8,3.1,-0.8,-0.003,-0.018
Auburn,Iowa,2023,2023-03-16,1,0.031,0.27,0.50,-7.2,-2.8,-3.7,-2.5,-2.7,-1.3,-0.038,-0.052
Auburn,Houston,2023,2023-03-18,0,-0.287,-7.85,0.42,4.1,7.4,7.1,6.3,6.4,-0.8,0.005,-0.008
Baylor,California Santa Barbara,2023,2023-03-17,1,-0.107,14.00,0.21,4.8,4.1,3.5,3.0,2.3,-1.0,0.004,0.000
Baylor,Creighton,2023,2023-03-19,0,0.051,-0.53,0.70,1.3,1.3,2.1,1.3,0.8,-2.2,0.024,0.002
Boise State,Northwestern,2023,2023-03-16,0,0.071,-0.90,0.02,3.1,1.2,-0.2,1.2,0.7,0.3,0.014,0.007
California Santa Barbara,Baylor,2023,2023-03-17,0,0.107,-14.00,-0.21,-4.8,-2.2,-2.8,-2.1,-2.4,1.0,-0.004,0.000
Colgate,Texas,2023,2023-03-16,0,0.000,-18.36,0.42,0.8,0.4,4.3,1.4,0.6,2.4,0.023,0.046
College of Charleston,San Diego State,2023,2023-03-16,0,0.099,-7.41,-0.59,6.3,5.9,3.4,2.5,1.9,-0.6,0.007,0.003
Connecticut,Iona,2023,2023-03-17,1,-0.037,15.34,-0.35,0.5,1.5,1.9,-0.3,0.3,-0.3,0.011,0.000
Connecticut,Saint Mary's (CA),2023,2023-03-19,1,-0.030,5.54,0.01,5.9,7.3,6.8,2.8,2.6,-1.2,0.005,-0.018
Connecticut,Arkansas,2023,2023-03-23,1,0.152,6.96,-0.02,0.3,1.2,1.6,-2.1,-0.9,0.8,0.003,0.018
Connecticut,Gonzaga,2023,2023-03-25,1,-0.091,3.96,-0.44,-8.4,-0.8,-2.1,-4.1,-3.4,-0.8,-0.036,-0.034
Connecticut,Miami (FL),2023,2023-04-01,1,-0.024,8.97,-0.19,-4.2,-0.3,-2.5,-3.7,-3.2,-0.9,-0.025,-0.022
Connecticut,San Diego State,2023,2023-04-03,1,-0.055,7.14,-0.81,4.0,3.8,3.8,0.3,1.3,-0.5,0.014,0.014
Creighton,North Carolina State,2023,2023-03-17,1,-0.061,5.33,-0.65,-1.8,-0.1,0.9,-1.2,-0.5,0.7,-0.004,0.014
Creighton,Baylor,2023,2023-03-19,1,-0.051,0.53,-0.70,-1.3,1.6,-0.7,-1.5,-0.4,2.2,-0.024,-0.002
Creighton,Princeton,2023,2023-03-24,1,-0.088,13.07,-0.38,0.4,2.0,2.3,-0.6,0.4,0.6,0.004,0.013
Creighton,San Diego State,2023,2023-03-26,0,-0.176,2.02,-0.97,5.1,4.9,5.0,1.9,3.0,1.6,0.015,0.029
