Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3PA/FGA,3P%
Alabama,Texas A&M-Corpus Christi,2023,2023-03-16,1,0.147,25.76,-0.24,1.7,7.3,-0.3,-2.4,3.4,1.0,-0.001,0.131,-0.029
Alabama,Maryland,2023,2023-03-18,1,0.217,8.61,-0.18,12.1,11.0,3.6,0.6,1.4,3.1,0.013,0.103,0.007
Alabama,San Diego State,2023,2023-03-24,0,0.040,7.38,-0.50,10.6,8.3,2.1,-0.6,1.2,2.2,0.024,0.127,-0.013
Arizona,Princeton,2023,2023-03-16,0,0.099,14.32,0.02,6.4,0.3,5.5,1.2,-0.2,1.4,0.038,-0.041,0.036
Arizona State,Texas Christian,2023,2023-03-17,0,0.021,-4.32,0.30,-4.2,0.7,-1.8,-0.9,0.0,-0.2,-0.019,0.093,0.012
Arkansas,Illinois,2023,2023-03-16,1,-0.019,1.18,0.33,-0.2,-2.5,0.4,1.5,-0.5,-0.2,0.004,-0.141,0.005
Arkansas,Kansas,2023,2023-03-18,1,-0.188,-3.21,0.07,-1.3,-0.6,-3.6,-0.4,1.2,0.4,-0.009,-0.060,-0.034
Arkansas,Connecticut,2023,2023-03-23,0,-0.152,-6.96,0.02,-4.5,-4.0,-4.7,2.1,0.2,-0.2,-0.027,-0.139,-0.050
Auburn,Iowa,2023,2023-03-16,1,0.031,0.27,0.50,-7.3,-0.4,-2.3,1.2,1.7,2.4,-0.022,-0.024,-0.025
Auburn,Houston,2023,2023-03-18,0,-0.287,-7.85,0.42,-2.1,-2.7,-0.6,-0.2,0.2,2.2,-0.023,-0.028,-0.025
Baylor,California Santa Barbara,2023,2023-03-17,1,-0.107,14.00,0.21,5.3,2.2,0.1,0.3,-0.1,0.8,-0.006,0.151,0.018
Baylor,Creighton,2023,2023-03-19,0,0.051,-0.53,0.70,0.6,-3.0,-1.5,1.6,-1.7,0.5,-0.005,0.031,0.014
Boise State,Northwestern,2023,2023-03-16,0,0.071,-0.90,0.02,4.4,1.2,-1.5,-2.9,-1.0,1.5,0.041,-0.030,0.041
California Santa Barbara,Baylor,2023,2023-03-17,0,0.107,-14.00,-0.21,-5.3,-2.2,-0.1,-0.3,0.1,-0.8,0.006,-0.151,-0.018
Colgate,Texas,2023,2023-03-16,0,0.000,-18.36,0.42,0.1,-0.4,2.0,-0.8,-0.7,-1.4,0.029,0.003,0.056
College of Charleston,San Diego State,2023,2023-03-16,0,0.099,-7.41,-0.59,8.9,4.0,0.8,0.7,-0.8,0.3,0.017,0.132,-0.017
Connecticut,Iona,2023,2023-03-17,1,-0.037,15.34,-0.35,2.6,3.7,2.6,-1.2,-0.6,2.4,0.026,0.097,0.001
Connecticut,Saint Mary's (CA),2023,2023-03-19,1,-0.030,5.54,0.01,7.9,4.0,5.0,-0.5,1.4,2.2,0.024,0.047,-0.002
Connecticut,Arkansas,2023,2023-03-23,1,0.152,6.96,-0.02,4.5,4.0,4.7,-2.1,-0.2,0.2,0.027,0.139,0.050
Connecticut,Gonzaga,2023,2023-03-25,1,-0.091,3.96,-0.44,-7.5,2.1,1.2,-0.9,1.5,2.2,-0.029,0.094,-0.016
Connecticut,Miami (FL),2023,2023-04-01,1,-0.024,8.97,-0.19,-0.5,4.6,3.0,-1.0,1.8,1.8,-0.006,0.074,-0.005
Connecticut,San Diego State,2023,2023-04-03,1,-0.055,7.14,-0.81,7.4,3.0,4.6,-0.4,1.0,1.3,0.040,0.072,0.015
Creighton,North Carolina State,2023,2023-03-17,1,-0.061,5.33,-0.65,-1.3,0.4,2.9,-2.8,-0.4,2.2,0.035,0.046,0.007
Creighton,Baylor,2023,2023-03-19,1,-0.051,0.53,-0.70,-0.6,3.0,1.5,-1.6,1.7,-0.5,0.005,-0.031,-0.014
Creighton,Princeton,2023,2023-03-24,1,-0.088,13.07,-0.38,0.9,-2.0,2.3,0.1,0.8,-0.4,0.021,-0.001,0.012
Creighton,San Diego State,2023,2023-03-26,0,-0.176,2.02,-0.97,5.2,0.7,2.8,-1.7,0.2,0.0,0.041,0.072,0.006
Drake,Miami (FL),2023,2023-03-17,0,0.013,-6.14,0.42,-4.3,1.0,-0.8,-2.0,-0.5,-0.6,-0.011,0.028,0.002
Duke,Oral Roberts,2023,2023-03-16,1,-0.118,7.28,-0.95,-11.3,1.9,-0.1,-1.1,-0.9,2.6,-0.037,-0.108,-0.030
Duke,Tennessee,2023,2023-03-18,0,0.068,-5.01,-0.53,1.2,0.3,-2.1,-2.6,0.9,0.0,0.017,-0.047,0.006
Fairleigh Dickinson,Purdue,2023,2023-03-17,1,-0.282,-27.21,0.41,4.7,-4.3,-0.8,3.3,-1.7,0.4,-0.011,-0.004,0.023
Fairleigh Dickinson,Florida Atlantic,2023,2023-03-19,0,-0.340,-22.90,0.34,-0.4,-4.5,0.3,1.5,-0.6,-0.3,-0.025,-0.062,-0.021
Florida Atlantic,Memphis,2023,2023-03-17,1,0.147,-0.58,-1.15,-1.6,3.0,-1.2,-2.1,-1.9,-1.5,0.005,0.151,0.013
Florida Atlantic,Fairleigh Dickinson,2023,2023-03-19,1,0.340,22.90,-0.34,0.4,4.5,-0.3,-1.5,0.6,0.3,0.025,0.062,0.021
Florida Atlantic,Tennessee,2023,2023-03-23,1,0.215,-6.92,-0.43,7.0,0.5,-2.3,-1.8,-1.0,-0.2,0.043,0.042,0.037
Florida Atlantic,Kansas State,2023,2023-03-25,1,0.193,-1.87,-0.97,1.6,4.3,-2.6,-1.5,-0.2,-2.0,0.010,0.080,0.023
Florida Atlantic,San Diego State,2023,2023-04-01,0,0.099,-1.89,-0.82,6.6,2.6,1.5,-0.2,-1.3,0.2,0.039,0.096,0.018
Furman,Virginia,2023,2023-03-16,1,0.013,-8.39,-0.31,13.1,2.9,1.0,-0.2,-1.1,2.5,0.045,0.107,-0.006
Furman,San Diego State,2023,2023-03-18,0,-0.018,-10.92,-0.36,9.7,-1.2,3.8,-0.1,-0.7,-0.6,0.056,0.119,-0.004
Gonzaga,Grand Canyon,2023,2023-03-17,1,0.163,14.56,0.06,10.9,0.6,3.7,2.3,0.2,-1.2,0.029,-0.095,-0.004
Gonzaga,Texas Christian,2023,2023-03-19,1,0.212,3.38,0.22,10.8,1.4,0.2,-0.8,-1.3,-1.2,0.069,0.023,0.069
Gonzaga,UCLA,2023,2023-03-23,1,-0.004,-3.12,0.46,12.0,1.9,1.8,-1.2,-0.4,0.7,0.063,0.033,0.030
